course_name,price,duration,description
Sales Representative,80,20,Foam yoga block for enhancing poses and stability.
Quality Control Specialist,422,3,Electric foot massager for relaxation and relief.
Quality Control Specialist,337,9.5,Spacious duffle bag for weekend getaways.
Marketing Manager,375,12,Eco-friendly solar lights for pathways and gardens.
Librarian,427,4,Countertop dishwasher for small kitchens.
Software Engineer III,510,3,"Smoothie mix combining peanut butter and banana, great for a quick breakfast."
Health Coach IV,575,3,Rich and creamy smoked Gouda cheese perfect for snacking.
Budget/Accounting Analyst I,464,4,"Crispy baked falafel balls, perfect for salads"
Registered Nurse,980,1.5,Rich and creamy pudding made with ripe avocados and cocoa.
Health Coach IV,620,3,"A trendy fanny pack, perfect for hands-free outings."
Associate Professor,661,3,Artisan-made sourdough bread with a tangy flavor.
Actuary,401,5,Compact pocket tool with various built-in functions.
Design Engineer,293,4,Eco-friendly sealer for protecting concrete surfaces.
Associate Professor,405,3,"Fudgy brownie bites, perfect for sharing or snacking."
Mechanical Systems Engineer,511,3,A stunning lace dress perfect for special occasions.
General Manager,505,4,"Rich coconut milk, great for cooking and baking."
Compensation Analyst,436,1.5,Crunchy granola with pumpkin spice flavor.
Biostatistician IV,789,1.5,Warm and stylish jacket for cold weather.
Chief Design Engineer,961,3,Reusable mat that prevents food from sticking to the grill.
Web Designer IV,142,3,Portable projector with 1080p resolution for movies.
Mechanical Systems Engineer,615,4,Complete set of gardening tools for outdoor tasks.
Systems Administrator I,906,3,Creative building set for kids to spark imagination.
Automation Specialist II,766,3,Set of versatile mixing bowls for cooking.
Accounting Assistant II,853,5,Journal to record workouts and nutrition.
Actuary,833,11,Non-stick and heat-resistant utensils for cooking.
Actuary,42,1.5,Automatic can opener for easy meal prep.
Design Engineer,606,3,"Soft and delicious garlic-infused flatbread, perfect for dipping."
Assistant Media Planner,550,3,Delicious dark chocolate with creamy nut butter inside.
Quality Control Specialist,992,3,Complete kit for starting your own organic garden.
Clinical Specialist,521,3,Creamy and crumbly cheese for salads and dishes.
Human Resources Assistant II,544,1.5,High-quality whole wheat flour for baking and cooking.
Recruiting Manager,419,4,Refreshing dessert bars made with pineapple and coconut.
Health Coach II,901,15,Sturdy camera tripod for professional photography.
Analog Circuit Design manager,963,12,"Frozen cauliflower bites coated in spicy buffalo sauce, ready to bake and enjoy as an appetizer."
Social Worker,749,13,Cozy cable knit cardigan to layer during chilly evenings.
Food Chemist,512,3,Natural elderberry syrup to boost immunity.
Registered Nurse,116,4,"Fluffy quinoa mixed with lemon zest and herbs, a perfect side."
VP Quality Control,461,1.5,"Refreshing dressing made with avocado and lime, perfect for salads."
Human Resources Assistant II,547,3,"All-in-one meal kit including pasta, meatballs, and sauce for a quick dinner."
Marketing Assistant,893,3,Hands-on experience with science and engineering projects.
Information Systems Manager,168,3,"Crispy baked radish chips, a healthy snack alternative."
Statistician IV,904,3,Prevent water damage with drip trays for potted plants.
Compensation Analyst,147,12,Crispy dill pickles that are perfect for snacking or sandwiches.
Senior Developer,676,1.5,Professional-grade nail care set for manicures and pedicures.
Professor,626,3,"Whole wheat wraps filled with spinach, feta, and herbs."
Business Systems Development Analyst,292,1.5,"Multi-function pressure cooker that can sauté, steam, and slow cook."
Clinical Specialist,859,4,Strong magnetic holder for smartphones in cars.
Dental Hygienist,627,3,Crisp and delicious organic apples.
Sales Representative,800,4,Classic chicken noodle soup with tender chicken and vegetables.
Software Engineer II,846,3,Convenient belt with pockets for easy access to tools while gardening.
Help Desk Operator,140,4,Comfortable gaming chair for long hours of play.
Marketing Assistant,568,1.5,Countertop dishwasher for small kitchens.
Engineer IV,225,3,Complete outdoor kit for camping and hiking.
Technical Writer,169,4,Stylish bookends to keep books organized on shelves.
Developer II,89,4,"Track steps, heart rate, and sleep patterns."
Sales Associate,656,1.5,"Creamy yogurt with probiotics, available in various flavors."
Assistant Media Planner,790,3,Energy-efficient infrared heater for home use.
VP Quality Control,590,3,Eco-friendly generator for outdoor adventures.
Sales Representative,821,3,Monthly subscription for freshly roasted coffee delivered to your door.
Senior Quality Engineer,499,3,Compact jump starter for emergency vehicle starts.
Financial Advisor,521,3,Creamy and crumbly cheese for salads and dishes.
Quality Control Specialist,476,1.5,Eco-friendly generator for outdoor adventures.
Staff Scientist,146,3,Unsweetened coconut flakes for baking and topping.
Paralegal,608,3,"Crispy baked radish chips, a healthy snack alternative."
Technical Writer,495,3,Soft glow night light for children's rooms or bedside.
Staff Accountant II,676,5,Waterproof picnic blanket for outdoor fun.
Professor,189,3,Shredded cabbage and carrots for coleslaw.
VP Product Management,426,3,Durable gardening gloves with reinforced fingertips.
Developer II,455,3,Stylish holder for organizing cooking utensils.
Database Administrator II,455,3,Artisan bread with caraway seeds for added flavor.
Programmer Analyst IV,578,4,Classic wooden train set for imaginative play.
Internal Auditor,835,4,"Rich and tangy balsamic vinegar, perfect for dressings."
GIS Technical Architect,847,3,Creamy soup full of rich mushroom flavor.
Chemical Engineer,477,3,"Thin and crispy flatbreads, perfect for dips."
Staff Scientist,68,3,"Frozen green peas, a great addition to meals."
Compensation Analyst,381,3,"Savory oatmeal ready to eat, great for breakfast or a snack."
Recruiting Manager,504,3,"Deliciously crunchy sweet potato chips, seasoned to perfection."
Human Resources Assistant IV,652,11,"A whole free-range chicken, ready for roasting."
Account Executive,873,1.5,"Savory, protein-rich beef jerky for on-the-go snacking."
Analyst Programmer,982,18,"Spicy jalapenos stuffed with cheese, ideal for appetizers."
Web Developer I,199,4,Eco-friendly utensil set made from natural wood.
Legal Assistant,694,3,Comfortable and breathable backpack for carrying small pets.
Dental Hygienist,78,3,Customizable window cover for light control and privacy.
Developer III,474,1.5,Fresh walnut halves for baking or snacking.
Marketing Manager,740,3,Freshly ground cinnamon spice for baking or seasoning.
Environmental Specialist,538,4,Frozen mix of colorful stir-fry veggies.
Accountant I,459,3,Traditional basil pesto made with extra virgin olive oil.
Chemical Engineer,117,4,"Essential cotton tank top, perfect for layering."
Help Desk Technician,592,3,DIY kit to make your own lip balms in various flavors.
Staff Accountant IV,628,3,Insulated mug to keep drinks hot on the go.
Assistant Manager,242,3,Elegant classic pumps that add sophistication to any outfit.
Associate Professor,757,3,Comprehensive first aid kit for home and travel.
Paralegal,25,1.5,Insulated mug to keep drinks hot on the go.
Social Worker,531,3,Device that tracks soil moisture and provides care tips.
Payment Adjustment Coordinator,632,13,"A mix of fresh raspberries, blueberries, and blackberries."
Senior Quality Engineer,724,10,Rechargeable hand warmer for cold weather comfort.
Financial Analyst,182,3,Programmable digital thermostat for home heating.
Quality Engineer,244,5.5,Battery-operated motion sensor light for safety.
Help Desk Operator,746,1.5,Organize coffee capsules with this stylish dispenser.
Information Systems Manager,998,5,Spicy blue cheese with a hint of buffalo flavor.
Civil Engineer,138,4,Durable cover to protect your grill from the elements.
Media Manager I,657,3,Floating bookshelf to display your favorite books.
Analog Circuit Design manager,473,3,"Rich tomato soup flavored with fresh basil, ready to heat up."
Civil Engineer,833,3,All ingredients included for delicious chicken fajitas.
Business Systems Development Analyst,202,3,"Chic suede ankle booties, perfect for dressing up or down."
Junior Executive,359,3,Creamy risotto infused with wild mushrooms.
Software Engineer II,79,3,Set of unique wooden coasters for drinks and decor.
Cost Accountant,292,3,Tangy sweet chili sauce perfect for dipping or cooking.
Human Resources Manager,576,3,Comfortable gaming headset with surround sound.
VP Product Management,694,3,Space-saving rack to store and organize spices conveniently.
Actuary,622,3,Adjustable phone mount for car dashboard.
Structural Analysis Engineer,971,3,Official size basketball for indoor and outdoor play.
Community Outreach Specialist,758,4,"Non-stick griddle for pancakes, burgers, and more."
Product Engineer,409,4,"Sweet and fruity peach preserves, perfect for spreading on toast."
Research Nurse,610,5,"Floral and refreshing herbal tea, great hot or iced."
Office Assistant III,781,4,Eco-friendly toys for learning and imaginative play.
Information Systems Manager,129,3,Smoky and sweet BBQ sauce for grilling and dipping.
Structural Engineer,308,4,Complete kit for starting your own organic garden.
Systems Administrator II,585,3,Eco-friendly utensil set made from natural wood.
Senior Sales Associate,756,3,Assorted herbal tea bags for relaxation and wellness.
Senior Developer,584,3,A seasonal creamer that adds pumpkin spice flavor to coffee or tea.
Structural Analysis Engineer,315,4,"Canned beans with chili sauce, perfect for chili dishes."
Statistician IV,946,1.5,"Durable, unbreakable wine glasses for outdoor use."
Graphic Designer,579,3,Challenging and fun puzzle game for all ages.
Geological Engineer,477,3,A warming blend of ginger and turmeric for lattes.
Help Desk Technician,714,3,Stylish scarves to accessorize any outfit.
Budget/Accounting Analyst III,836,3,A pack of assorted nut and protein bars for a quick energy boost.
VP Product Management,47,1.5,A convenient powder mix combining greens and fruits for smoothies.
Assistant Manager,764,3,Herbal tea bags made from dried hibiscus flowers.
Health Coach II,167,3,Versatile puff pastry for pies and pastries.
VP Sales,287,1.5,Quote wall art to inspire and motivate.
Structural Analysis Engineer,751,5,"Ready-to-eat chia seed pudding made with coconut milk, perfect for breakfast or dessert."
Budget/Accounting Analyst I,304,3,Crunchy crackers topped with real cheddar cheese flavor.
Financial Analyst,96,3,Ergonomic wireless mouse with adjustable DPI.
Registered Nurse,223,3,Beautiful leather-bound journal for writing and sketching.
Administrative Assistant IV,878,1.5,A delicious sauce perfect for stir-frying or glazing meats.
Financial Advisor,765,3,A mix of frozen roasted vegetables for an easy side dish.
Staff Accountant III,207,3,"Tangy and sweet balsamic dressing, perfect for salads."
Biostatistician III,41,14,Instant pressure cooker with multiple cooking settings.
Environmental Specialist,348,3,"Soft and delicious garlic-infused flatbread, perfect for dipping."
Administrative Officer,711,4,Personal massager for muscle recovery.
Tax Accountant,107,3,Mix to create a delicious chia seed pudding in just a few minutes.
Teacher,101,3,Planters with a self-watering feature for easy care.
Senior Cost Accountant,175,1.5,Frozen mango chunks for smoothies or snacking.
Structural Analysis Engineer,92,3,Crunchy corn chips flavored with chili and lime for a zesty kick.
VP Accounting,795,15,"Creamy dip made with real onions and spices, great for chips and veggies."
Community Outreach Specialist,599,1.5,"Healthy fruit snacks, made with real fruit."
Staff Scientist,30,3,A spice blend for making flavorful chili con carne.
Food Chemist,150,3,Complete outdoor kit for camping and hiking.
Staff Accountant III,426,4,Crispy and sweet dried apple slices
VP Sales,395,3,Rich basil pesto sauce for pasta and more.
Accountant IV,196,4.5,Delicious dark chocolate cups filled with creamy peanut butter.
Accountant IV,161,3,Delicious dark chocolate cups filled with creamy peanut butter.
Web Developer II,134,3,"Versatile air fryer that also roasts, bakes, and broils."
Staff Accountant II,543,3,"A delightful mix of chocolate, coconut, and almonds in a snack bar."
GIS Technical Architect,901,3,"Crunchy granola with oats, almonds, and dried cranberries."
Staff Accountant III,127,3,Frozen smoothie pack with strawberries and bananas.
Payment Adjustment Coordinator,189,13,Stylish tote to keep wine bottles chilled while traveling.
Senior Developer,245,11,Rechargeable hand warmer for cold weather comfort.
Analyst Programmer,757,3,"Creamy, sweet pie mix to make the perfect coconut cream pie."
Professor,396,1.5,DIY LED strip lights with remote control.
Assistant Manager,107,5,"A nutritious quinoa salad with veggies and dressing, ready-to-eat."
VP Quality Control,300,3,Compact blender for quick smoothies and shakes.
VP Product Management,523,3,Fun tourist magnets from around the world for your fridge.
Chief Design Engineer,937,1.5,"Instant oats with a savory twist, such as herbs and spices."
Health Coach I,31,1.5,Gluten-free biscuits made with almond flour.
Programmer I,217,3,Complete cleaning kit for camera lenses.
Environmental Specialist,192,5,Stylish scarves to accessorize any outfit.
Marketing Manager,769,4,"A delicious savory quinoa pudding, great as a side dish."
Geological Engineer,512,1.5,Leak-proof bottles for travel-sized toiletries.
Environmental Specialist,271,3,Cordless electric knife for effortless slicing.
Marketing Assistant,280,3,Adjustable shelving unit for home or garage storage.
Administrative Officer,544,3,"A delicious savory quinoa pudding, great as a side dish."
Account Executive,942,3,Lightweight leaf blower for maintaining outdoor spaces.
Structural Engineer,898,3,Ergonomic monitor stand for improved workspace organization.
Nuclear Power Engineer,592,4,Digital scale for precise cooking measurements.
Environmental Specialist,895,4,Modern lamp featuring a USB port for convenient charging.
Nurse Practicioner,869,3,GPS collar that monitors your pet's location and activity level.
Software Engineer IV,959,3,"Bartender kit with shaker, jigger, and strainer."
Electrical Engineer,565,3,Frozen mix of colorful stir-fry veggies.
Engineer IV,300,1.5,"Freshly baked whole wheat bread, rich in fiber."
Graphic Designer,468,5,Popcorn tossed with sweet or savory flavors for a tasty snack.
Structural Engineer,582,3,A flavorful pasta sauce made with roasted garlic.
